,wid,age,country,gender,marital,parenthood,hmid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,value
1717,168,28,USA,m,single,n,114328,24h,Tried a difficult new recipe that turned out great.,Tried a difficult new recipe that turned out great.,True,1,achievement,achievement,1
1718,168,28,USA,m,single,n,118095,24h,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
1719,168,28,USA,m,single,n,122474,24h,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
1722,169,29,USA,f,single,n,90266,3m,Seeing this HIT is up and I caught it for today. ,Seeing this HIT is up and I caught it for today. ,True,1,achievement,achievement,1
1726,169,29,USA,f,single,n,126255,24h,Having a half day off after a trip to my dentist only taking 45 min. ,Having a half day off after a trip to my dentist only taking 45 min. ,True,1,achievement,achievement,1
1802,177,25,USA,m,single,n,40875,24h,I was able to successfully change the engine air filter in my car. ,I was able to successfully change the engine air filter in my car. ,True,1,achievement,achievement,1
1804,177,25,USA,m,single,n,83025,3m,I got paid my fee for doing some consulting work last month.,I got paid my fee for doing some consulting work last month.,True,1,achievement,achievement,1
1806,177,25,USA,m,single,n,98685,3m,I had an amazing interview experience for a Summer position.,I had an amazing interview experience for a Summer position.,True,1,achievement,achievement,1
1807,177,25,USA,m,single,n,115776,24h,I got in touch with a lawyer in order to sue my ex-employer,I got in touch with a lawyer in order to sue my ex-employer,True,1,achievement,achievement,1
1834,180,35,USA,m,single,n,49107,24h,I won a free shirt at the mall.,I won a free shirt at the mall.,True,1,achievement,achievement,1
1836,180,35,USA,m,single,n,61942,3m,I got a new job. ,I got a new job. ,True,1,achievement,achievement,1
1837,180,35,USA,m,single,n,71937,3m,I got a new job. ,I got a new job. ,True,1,achievement,achievement,1
1838,180,35,USA,m,single,n,89244,3m,I got a new pair of shoes.,I got a new pair of shoes.,True,1,achievement,achievement,1
1839,180,35,USA,m,single,n,124401,24h,I got a new video game.,I got a new video game.,True,1,achievement,leisure,1
1900,186,44,USA,m,single,y,46837,24h,Had an absolutely productive day at work.,Had an absolutely productive day at work.,True,1,achievement,achievement,1
1930,190,23,USA,m,single,n,47255,24h,I was accepted into the lab that I want to complete my PhD work in!,I was accepted into the lab that I want to complete my PhD work in!,True,1,achievement,achievement,1
1934,190,23,USA,m,single,n,97530,3m,I cleaned my house.,I cleaned my house.,True,1,achievement,achievement,1
2000,193,28,USA,m,single,n,45982,24h,Winning in poker at the casino ,Winning in poker at the casino ,True,1,achievement,achievement,1
2001,193,28,USA,m,single,n,46726,24h,Warriors won their basketball game ,Warriors won their basketball game ,True,1,achievement,achievement,1
2005,193,28,USA,m,single,n,102549,3m,I've lost 10 pounds in the last week!,I've lost 10 pounds in the last week!,True,1,achievement,achievement,1
2008,194,26,USA,f,single,n,46973,24h,I got my package delivered with no issues.,I got my package delivered with no issues.,True,1,achievement,achievement,1
2012,194,26,USA,f,single,n,110507,24h,"My peas started sprouting, because I thought my veggie garden was going to be unsuccessful.","My peas started sprouting, because I thought my veggie garden was going to be unsuccessful.",True,1,achievement,achievement,1
2013,194,26,USA,f,single,n,127897,24h,I finished writing one chapter of my book.,I finished writing one chapter of my book.,True,1,achievement,achievement,1
2014,195,30,USA,m,single,n,32120,24h,I made a very high rank in hearthstone very recently after struggling for it.,I made a very high rank in hearthstone very recently after struggling for it.,True,1,achievement,achievement,1
2017,195,30,USA,m,single,n,44741,24h,"Got a legendary item in World of Warcraft, been about 3 months since I've been trying for one.","Got a legendary item in World of Warcraft, been about 3 months since I've been trying for one.",True,1,achievement,achievement,1
2020,195,30,USA,m,single,n,84466,3m,"I got comped to a suite in Atlantic City after not being there in a while, completely unexpected.","I got comped to a suite in Atlantic City after not being there in a while, completely unexpected.",True,1,achievement,achievement,1
2036,197,24,USA,m,single,n,126506,24h,Another event that made me happy in the past 24 hours was being able to work towards my goals at work and achieve a bonus. ,Another event that made me happy in the past 24 hours was being able to work towards my goals at work and achieve a bonus. ,True,1,achievement,achievement,1
2065,202,24,USA,m,single,n,47383,24h,I learned how to study using silhouettes for art.,I learned how to study using silhouettes for art.,True,1,achievement,achievement,1
2066,202,24,USA,m,single,n,48182,24h,I finished my daily obligations early so had a lot of time to relax and think about things.,I finished my daily obligations early so had a lot of time to relax and think about things.,True,1,achievement,achievement,1
2069,202,24,USA,m,single,n,104774,3m,I learned how to brush my dog's teeth without her putting up too much of a fuss.,I learned how to brush my dog's teeth without her putting up too much of a fuss.,True,1,achievement,achievement,1
2071,202,24,USA,m,single,n,127629,24h,"I found a new, simple way to clean some things.","I found a new, simple way to clean some things.",True,1,achievement,achievement,1
2073,203,26,USA,m,single,n,42535,24h,Getting a bonus of $5 on Mturk.,Getting a bonus of $5 on Mturk.,True,1,achievement,achievement,1
2077,204,30,USA,f,single,n,34426,24h,I went to the craft store and was able to find all the supplies I needed for my next sewing project.,I went to the craft store and was able to find all the supplies I needed for my next sewing project.,True,1,achievement,achievement,1
2078,204,30,USA,f,single,n,100414,3m,"After my lease expired, I was able to get a new, upgraded car from the dealership.","After my lease expired, I was able to get a new, upgraded car from the dealership.",True,1,achievement,achievement,1
2100,208,45,USA,f,single,n,127225,24h,I thought of a way to improve the novella I'm writing.,I thought of a way to improve the novella I'm writing.,True,1,achievement,achievement,1
2102,209,28,USA,m,single,n,44649,24h,I was booking a flight and just before I finalized the reservation I received an email from the airline about a special deal that ended up saving me over $200.,I was booking a flight and just before I finalized the reservation I received an email from the airline about a special deal that ended up saving me over $200.,True,1,achievement,achievement,1
2106,209,28,USA,m,single,n,70211,3m,I was able to fix the lens on my camera myself saving me the trouble to have to send the camera to Canon and wait for it to be fixed.,I was able to fix the lens on my camera myself saving me the trouble to have to send the camera to Canon and wait for it to be fixed.,True,1,achievement,achievement,1
2110,209,28,USA,m,single,n,86494,3m,I learned how to make my own homemade Pizza dough and bake it with a perfect crust.,I learned how to make my own homemade Pizza dough and bake it with a perfect crust.,True,1,achievement,achievement,1
2114,210,26,USA,m,single,n,87521,3m,"Yesterday afternoon, I managed to make an appointment with a new eye doctor. I've needed new glasses for a while.","Yesterday afternoon, I managed to make an appointment with a new eye doctor. I've needed new glasses for a while.",True,2,achievement,achievement,1
2116,210,26,USA,m,single,n,105120,3m,I received a special assignment at work for being an outstanding worker. ,I received a special assignment at work for being an outstanding worker. ,True,1,achievement,achievement,1
2119,211,27,USA,m,single,n,36499,24h,I got my paycheck.,I got my paycheck.,True,1,achievement,achievement,1
2121,211,27,USA,m,single,n,81502,3m,I lost some weight.,I lost some weight.,True,1,achievement,achievement,1
2122,211,27,USA,m,single,n,85663,3m,I got a new cell phone.,I got a new cell phone.,True,1,achievement,achievement,1
2124,211,27,USA,m,single,n,98463,3m,"Getting my paycheck, and it had a nice bonus.","Getting my paycheck, and it had a nice bonus.",True,1,achievement,achievement,1
2134,212,24,USA,m,single,n,96891,3m,When my first performance as a stand up comedian was well received. ,When my first performance as a stand up comedian was well received. ,True,1,achievement,achievement,1
2135,212,24,USA,m,single,n,111729,24h,When I rescued a puppy from a drowning car. ,When I rescued a puppy from a drowning car. ,True,1,achievement,achievement,1
2201,217,44,USA,f,single,y,89874,3m,My sons father is doing very well in school,My sons father is doing very well in school,True,1,achievement,affection,1
2202,217,44,USA,f,single,y,90874,3m,He will be earning his ba degree ,He will be earning his ba degree ,True,1,achievement,achievement,1
2203,217,44,USA,f,single,y,111328,24h,I will soon get my masters too,I will soon get my masters too,True,1,achievement,achievement,1
2222,220,22,USA,m,single,n,43117,24h,Got new wireless headphones for my iPhone 7 Plus,Got new wireless headphones for my iPhone 7 Plus,True,1,achievement,achievement,1
2223,220,22,USA,m,single,n,80550,3m,I was able to get my car fixed,I was able to get my car fixed,True,1,achievement,achievement,1
2257,225,25,USA,m,single,n,58213,24h,it made me happy when i finished my work early,it made me happy when i finished my work early,True,1,achievement,achievement,1
2258,225,25,USA,m,single,n,80427,3m,I was happy when I got a promotion at work,I was happy when I got a promotion at work,True,1,achievement,achievement,1
